author,title,copies
http://www.connaissance.io/onto/biblio/authors#Chris_Bohjalian,Midwives,1
http://www.connaissance.io/onto/biblio/authors#Chris_Bohjalian,The Law of Similars,1
http://www.connaissance.io/onto/biblio/authors#Chris_Bohjalian,Water Witches,1
http://www.connaissance.io/onto/biblio/authors#Chris_Duff,On Celtic Tides,1
http://www.connaissance.io/onto/biblio/authors#Christian_Teubner,The Cheese Bible,1
http://www.connaissance.io/onto/biblio/authors#Christopher_Moore,Bite Me,1
http://www.connaissance.io/onto/biblio/authors#Christopher_Moore,Bloodsucking fiends : a love story,1
http://www.connaissance.io/onto/biblio/authors#Christopher_Moore,Practical Demonkeeping,1
http://www.connaissance.io/onto/biblio/authors#Christopher_Moore,The Lust Lizard of Melancholy Cove,1
http://www.connaissance.io/onto/biblio/authors#Christopher_Parkening,The Christopher Parkening guitar method. Vol. 1 : the art and technique of the classical guitar,1
http://www.connaissance.io/onto/biblio/authors#Clarence_Major,Dirty bird blues : a novel,1
http://www.connaissance.io/onto/biblio/authors#Clifton_Fadiman,The World treasury of modern religious thought,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Atlantis Found,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Blue Gold,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Crescent Dawn,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Cyclops,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Polar Shift,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Skeleton Coast,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Spartan Gold,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,The Chase,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,The Kingdom : a Fargo Adventure,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,The Race,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,Valhalla Rising,1
http://www.connaissance.io/onto/biblio/authors#Clive_Cussler,White Death,1
http://www.connaissance.io/onto/biblio/authors#Clysta_Kinstler,The Moon Under Her Feet,1
http://www.connaissance.io/onto/biblio/authors#Collins_Publishing,The Cook's Own Book,1
http://www.connaissance.io/onto/biblio/authors#Connie_May_Fowler,Sugar Cage,1
http://www.connaissance.io/onto/biblio/authors#Cormac_McCarthy,All the Pretty Horses,1
http://www.connaissance.io/onto/biblio/authors#Craig_Claiborne,The New York Times Cookbook,1
http://www.connaissance.io/onto/biblio/authors#Craig_Johnson,The Cold Dish,1
http://www.connaissance.io/onto/biblio/authors#Creative_Publishing,The Complete Guide to Home Carpentry : Carpentry Skills & Projects for Homeowners,1
http://www.connaissance.io/onto/biblio/authors#Dan_Eldon,The journey is the destination : the journals of Dan Eldon,1
http://www.connaissance.io/onto/biblio/authors#Dan_Haerle,"Jazz Tunes for Improvisation, Vol. 1",1
http://www.connaissance.io/onto/biblio/authors#Dan_Homeres,Dog Falling,1
http://www.connaissance.io/onto/biblio/authors#Dan_Homeres,Sub Rosa,1
http://www.connaissance.io/onto/biblio/authors#Dan_Millman,Way of the Peaceful Warrior,1
http://www.connaissance.io/onto/biblio/authors#Dan_OBrien,"Equinox: life, love, and birds of prey",1
http://www.connaissance.io/onto/biblio/authors#Daniel_Mathews,Cascade-Olympic Natural History,1
http://www.connaissance.io/onto/biblio/authors#Daniel_Quinn,Ishmael,1
http://www.connaissance.io/onto/biblio/authors#Danny_Elfman,Theme From The Simpsons,1
http://www.connaissance.io/onto/biblio/authors#Dany_Laferriere,An Aroma of Coffee,1
http://www.connaissance.io/onto/biblio/authors#Darby_Conley,Get Fuzzy : Blueprint for Disaster,1
http://www.connaissance.io/onto/biblio/authors#Darby_Conley,The Get Fuzzy Experience : are you bucksperienced,1
http://www.connaissance.io/onto/biblio/authors#Dashka_Slater,The Wishing Box,1
http://www.connaissance.io/onto/biblio/authors#Dave_DeWitt,Peppers of the world : an identification guide,1
http://www.connaissance.io/onto/biblio/authors#Dave_DeWitt,The Pepper Garden,1
http://www.connaissance.io/onto/biblio/authors#Dave_Eggers,What Is the What,1
http://www.connaissance.io/onto/biblio/authors#Dave_Eggers,You shall know our velocity : previously retitled as Sacrament,1
http://www.connaissance.io/onto/biblio/authors#Dave_Miller,"The complete handbook of home brewing : equipment, ingredients, methods, 55 recipes",1
http://www.connaissance.io/onto/biblio/authors#David_Arnason,The Pagan Wall,1
http://www.connaissance.io/onto/biblio/authors#David_Case,"Looking for information : a survey of research on information seeking, needs, and behavior",1
http://www.connaissance.io/onto/biblio/authors#David_Downing,"A dreamer of pictures : Neil Young, the man and his music",1
http://www.connaissance.io/onto/biblio/authors#David_Gans,Playing in the band : an oral and visual portrait of the Grateful Dead,1
http://www.connaissance.io/onto/biblio/authors#David_Gibbons,Cheese : a connoisseur's guide to the world's best,1
http://www.connaissance.io/onto/biblio/authors#David_Guterson,Our Lady of the Forest,1
http://www.connaissance.io/onto/biblio/authors#David_Guterson,Snow Falling on Cedars,1
http://www.connaissance.io/onto/biblio/authors#David_Haynes,Somebody else's mama : a novel,1
http://www.connaissance.io/onto/biblio/authors#David_Hoffmann,The herbal handbook : a user's guide to medical herbalism,1
http://www.connaissance.io/onto/biblio/authors#David_Huber,Modern Recording Techniques,1
http://www.connaissance.io/onto/biblio/authors#David_James_Duncan,The Brothers K,1
http://www.connaissance.io/onto/biblio/authors#David_James_Duncan,The River Why,1
http://www.connaissance.io/onto/biblio/authors#David_Lamb,"Vietnam, now : a reporter returns",1
http://www.connaissance.io/onto/biblio/authors#David_Rains_Wallace,The Turquoise Dragon : a mystery,1
http://www.connaissance.io/onto/biblio/authors#David_Seals,The Powwow Highway : a novel,1
http://www.connaissance.io/onto/biblio/authors#David_Sibley,The Sibley field guide to birds of western North America,1
http://www.connaissance.io/onto/biblio/authors#David_Smith_Ferri,Battlefield without borders : Iraq poems,1
http://www.connaissance.io/onto/biblio/authors#David_Stanley,Cuba,1
http://www.connaissance.io/onto/biblio/authors#DeLorme_Mapping_Company,Oregon Atlas & Gazetteer,1
http://www.connaissance.io/onto/biblio/authors#DeLorme_Mapping_Company,Washington Atlas & Gazetteer,1
http://www.connaissance.io/onto/biblio/authors#Deborah_Madison,The Greens cook book : extraordinary vegetarian cuisine from the celebrated restaurant,1
http://www.connaissance.io/onto/biblio/authors#Deepak_Chopra,The seven spiritual laws of success,1
http://www.connaissance.io/onto/biblio/authors#Denise_Chavez,Face of an Angel,1
http://www.connaissance.io/onto/biblio/authors#Derek_Hansen,Sole Survivor,1
http://www.connaissance.io/onto/biblio/authors#Diane_Seed,The Top 100 Pasta Sauces,1
http://www.connaissance.io/onto/biblio/authors#Dick_Francis,Break In,1
http://www.connaissance.io/onto/biblio/authors#Dominic_Behan,Ireland Sings,1
http://www.connaissance.io/onto/biblio/authors#Don_Miguel_Ruiz,The four agreements : a practical guide to personal freedom,1
http://www.connaissance.io/onto/biblio/authors#Donald_Miller,"Through painted deserts : light, God, and beauty on the open road",1
http://www.connaissance.io/onto/biblio/authors#Donald_Peattie,An Almanac for Moderns,1
http://www.connaissance.io/onto/biblio/authors#Donald_Peattie,An Almanac for Moderns ,1
http://www.connaissance.io/onto/biblio/authors#Donna_Andrews,Murder with Puffins,1
http://www.connaissance.io/onto/biblio/authors#Dorothy_Dunnett,100 Selected Poems,1
http://www.connaissance.io/onto/biblio/authors#Dorothy_Dunnett,Queen's Play,1
http://www.connaissance.io/onto/biblio/authors#Dorothy_Dunnett,The Game of Kings,1
http://www.connaissance.io/onto/biblio/authors#Douglas_Bauer,Dexterity : a novel,1
http://www.connaissance.io/onto/biblio/authors#Dr_Seuss,The Lorax,1
http://www.connaissance.io/onto/biblio/authors#ER_LaChapelle,Avalanche Safety,1
http://www.connaissance.io/onto/biblio/authors#Earl_Shorris,Under the Fifth Sun,1
http://www.connaissance.io/onto/biblio/authors#East_Coast_Books,Chord Chemistry for Guitar,1
http://www.connaissance.io/onto/biblio/authors#Edward_Abbey,A Voice Crying in the Wilderness,1
http://www.connaissance.io/onto/biblio/authors#Edward_Abbey,Desert Solitaire,1
http://www.connaissance.io/onto/biblio/authors#Edward_Abbey,Down the River,1
http://www.connaissance.io/onto/biblio/authors#Edward_Abbey,The journey home : some words in defense of the American West,1
http://www.connaissance.io/onto/biblio/authors#Edward_Esko,Macrobiotic Cooking for Everyone,1
http://www.connaissance.io/onto/biblio/authors#Edward_Rice,Captain Sir Richard Francis Burton. A biography,1
http://www.connaissance.io/onto/biblio/authors#Edwidge_Danticat,"Breath, Eyes, Memory",1
http://www.connaissance.io/onto/biblio/authors#Edwidge_Danticat,Krik? Krak!,1
http://www.connaissance.io/onto/biblio/authors#Edwidge_Danticat,The Farming of Bones,1
http://www.connaissance.io/onto/biblio/authors#Eliot_Asinof,Man on Spikes,1
http://www.connaissance.io/onto/biblio/authors#Elisabeth_Hyde,Her Native Colors,1
http://www.connaissance.io/onto/biblio/authors#Elisabeth_Hyde,Monoosook Valley,1
http://www.connaissance.io/onto/biblio/authors#Elise_Juska,Getting Over Jack Wagner,1
http://www.connaissance.io/onto/biblio/authors#Elizabeth_Arthur,Antarctic navigation : a novel,1
http://www.connaissance.io/onto/biblio/authors#Elizabeth_Berg,Range of Motion,1
http://www.connaissance.io/onto/biblio/authors#Elizabeth_Cunningham,The Return of the Goddess : a divine comedy,1
http://www.connaissance.io/onto/biblio/authors#Elizabeth_David,An Omelette and a Glass of Wine,1
http://www.connaissance.io/onto/biblio/authors#Ellen_Ewald,Recipes for a small planet; the art and science of high protein vegetarian cookery,1
http://www.connaissance.io/onto/biblio/authors#Elliot_Perlman,Seven Types of Ambiguity,1
http://www.connaissance.io/onto/biblio/authors#Elmore_Leonard,Be Cool,1
